P00 number,S/N,,model,funding,order_number,LEGEND,,,Currently Sorted
P46028,GG7Z1GSPJF8J,,6th,STATE,2916085152,,,,
P46029,DMPSTDJCHG5D,,AIR2,STATE,2675624942,,,,
P46032,DMPST49QHG5D,,AIR2,STATE,2675624942,,,,
P46082,GG7YV7AZJF8J,,6th,STATE,2916085152,,,,
P46083,GG7Z1H7UJF8J,,6th,STATE,2916085152,,,,
P46084,GG7Z1GYJJF8J,,6th,STATE,2916085152,,,,
P46085,DMPSTE1NHG5D,,AIR2,STATE,2675624942,,,,
P46086,GG7YV7JPJF8J,,6th,STATE,2916085152,,,,
P46087,DMPSTH0RHG5D,,AIR2,STATE,2675624942,,,,
P46088,GG7Z1FUNJF8J,,6th,STATE,,,,,
P46089,DMQSRYVSHG5D,,AIR2,STATE,2675624942,,,,
P46090,GG7Z1H20JF8J,,6th,STATE,2916085152,,,,
P46091,DMPSTDB8HG5D,,AIR2,STATE,2675624942,,,,
P46092,GG7Z1Q0TJF8J,,6th,STATE,2916085152,,,,
P46093,DMPSTDL7HG5D,,AIR2,STATE,2675624942,,,,
P46094,GG7Z1GT7JF8J,,6th,STATE,2916085152,,,,
P46095,GG7Z1GBEJF8J,,6th,STATE,2916085152,,,,
P46096,GG7Z1FMLJF8J,,6th,STATE,2916085152,,,,
P46097,DMPSTDLNHG5D,,AIR2,STATE,2675624942,,,,
P46098,GG7Z1GX7JF8J,,6th,STATE,2916085152,,,,
P46099,GG7Z1HJHJF8J,,6th,STATE,2916085152,,,,
P46101,GG7Z1JUHJF8J,,6th,STATE,2916085152,,,,
P46102,GG7Z1H9AJF8J,,6th,STATE,2916085152,,,,
P46103,DMPW7MJSJF8J,,6th,STATE,20180730154119,,,,
P46104,GG7Z1HBJJF8J,,6th,STATE,2916085152,,,,
P46118,GG7Z1537JF8J,,6th,STATE,2916085152,,,,
P46119,GG7Z1JTWJF8J,,6th,STATE,2916085152,,,,
P46120,GG7Z1GHBJF8J,,6th,STATE,2916085152,,,,
P46121,GG7Z1GLWJF8J,,6th,STATE,2916085152,,,,
P46168,DMPSTHMMHG5D,,AIR2,STATE,2675624942,,,,
P46173,DMPST48ZHG5D,,AIR2,STATE,2675624942,,,,
P46181,GG7Z1H16JF8J,,6th,STATE,2916085152,,,,
P46337,GG7Z1H5LJF8J,,6th,STATE,,,,,
P46338,DMPSTE8MHG5D,,AIR2,STATE,2675624942,,,,
P46339,DMPSTDENHG5D,,AIR2,STATE,2675624942,,,,
P46344,GG7Z1GCSJF8J,,6th,STATE,2916085152,,,,
P46345,DMPSTDKKHG5D,,AIR2,STATE,2675624942,,,,
P46363,GG7Z1HCBJF8J,,6th,STATE,2916085152,,,,
P46365,GG7Z1KSZJF8J,,6th,STATE,2916085152,,,,
P46402,DMPSTDVYHG5D,,AIR2,STATE,2675624942,,,,
P46403,GG7Z1KTEJF8J,,6th,STATE,2916085152,,,,
P46404,GG7Z1GY1JF8J,,6th,STATE,2916085152,,,,
P46486,DMPVD1DPHLFC,,5th,STATE,2736486624,,,,
P46508,GG7Z1KCTJF8J,,6th,STATE,2916085152,,,,
P46857,GG7Z12USJF8J,,6th,STATE,2916085152,,,,
P46979,GG7Z1GG0JF8J,,6th,STATE,2916085152,,,,
P46983,GG7Z1HH8JF8J,,6th,STATE,2916085152,,,,
P46984,GG7Z1GKYJF8J,,6th,STATE,2916085152,,,,
P46985,GG7Z1HG8JF8J,,6th,STATE,2916085152,,,,
P46986,F9FT82BDHLF9,,5th,STATE,2702920928,,,,
P46992,GG7Z1G9YJF8J,,6th,STATE,2916085152,,,,
P46994,GG7Z1H80JF8J,,6th,STATE,2916085152,,,,
P47993,GG7Z1B7QJF8J,,6th,STATE,2916085152,,,,
P49221,GG7Z1L0VJF8J,,6th,STATE,2916085152,,,,
P49223,GG7Z1GPFJF8J,,6th,STATE,2916085152,,,,
P49226,GG7Z1GC1JF8J,,6th,STATE,2916085152,,,,
P49229,GG7Z1F02JF8J,,6th,STATE,2916085152,,,,
,GCTVD109HLFC,,5th,STATE,2736486624,,,,
,GG7Z1LQDJF8J,,6th,STATE,2916085152,,,,
,GG7Z1K19JF8J,,6th,STATE,2916085152,,,,
,GG7YX1MNJF8J,,6th,STATE,2916085152,,,,
,GCTVD0EXHLFC,,5th,STATE,2736486624,,,,
P28968,DMQW5U3XJF8J,,6th,STATE,20180730154119,,,,
,DMPSTH0MHG5D,,AIR2,STATE,2675624942,,,,
P33623,GG7YV82YJF8J,,6th,STATE,2916085152,,,,
,DMPVD1GBHLFC,,5th,STATE,2736486624,,,,
,DMPVD1MQHLFC,,5th,STATE,2736486624,,,,
,GG7YV7CEJF8J,,6th,STATE,2916085152,,,,
,DMPW6XXDJF8J,,6th,STATE,20180730154119,,,,
,DMQW91PJJF8J,,6th,STATE,20180730154119,,,,
,GG7Z13JTJF8J,,6th,STATE,2916085152,,,,
P33657,GQ8YTALZJF8J,,6th,STATE,2916085152,,,,
P33631,GG7YV7Y6JF8J,,6th,STATE,2916085152,,,,
P17886,DMPW7URPJF8J,,6th,STATE,20180730154119,,,,
,DMRW6YFKJF8J,,6th,STATE,20180730154119,,,,
,GQ8YTAF5JF8J,,6th,STATE,2916085152,,,,
,GG7YV6S9JF8J,,6th,STATE,2916085152,,,,
,DMRW5JXSJF8J,,6th,STATE,20180730154119,,,,
,DMQW966QJF8J,,6th,STATE,20180730154119,,,,
,GG7YV12GJF8J,,6th,STATE,2916085152,,,,
,GG8YTUQ7JF8J,,6th,STATE,2916085152,,,,
,DMPSTHJNHG5D,,AIR2,STATE,2675624942,,,,
P33607,DMPSTDKAHG5D,,AIR2,STATE,2675624942,,,,
,GQ8YTAL3JF8J,,6th,STATE,2916085152,,,,
P33646,GG7YV8B0JF8J,,6th,STATE,2916085152,,,,
P004559,GG7XV9R7JF8J,,6th,STATE,1008803544,,,,
P46340,DMPST49THG5D,,AIR2,STATE,2675624942,,,,
P46509,GG7Z1GHVJF8J,,6th,STATE,2916085152,,,,
P33342,DMPSTE6RHG5D,,AIR2,STATE,2675624942,,,,
P004544,DMQY2HT0JF8J,,6th,STATE,1008803544,,,,
P004553,GG7XV91AJF8J,,6th,STATE,1008803544,,,,
P33499,GQ8XPRQ7JF8J,,6th,STATE,1008803544,,,,
,DMQY2JM8JF8J,,6th,STATE,1008803544,,,,
P36100,DMQW573BJF8J,,6th,STATE,20180730154119,,,,
,GG8YTRBBJF8J,,6th,STATE,2916085152,,,,
P33832,DMPWC4JXJF8J,,6th,STATE,20180730154119,,,,
P33573,DMQW93W1JF8J,,6th,STATE,20180730154119,,,,
P36020,GQ8YTAK9JF8J,,6th,STATE,2916085152,,,,
,GG7YV6HKJF8J,,6th,STATE,2916085152,,,,
P004548,DMQY2GMTJF8J,,6th,STATE,1008803544,,,,
P005815,DMPW33AMJF8K,,6th,FEDERAL,2788067403,,,,
P005816,DMPW47J2JF8K,,6th,FEDERAL,2788067403,,,,
P005817,DMPW33MXJF8K,,6th,FEDERAL,2788067403,,,,
P005818,GG7W2309HLFC,,5th,FEDERAL,2778568784,,,,
P005819,GG7W3HWQHLFC,,5th,FEDERAL,2778568784,,,,
P005820,DMPW4897JF8K,,6th,FEDERAL,2788067403,,,,
P005823,GG7WC0UKHLFC,,5th,UNKNOWN,2778955813,,,,
P005830,DMQW65ASJF8K,,6th,FEDERAL,2786748293,,,,
P005833,DMPW482RJF8K,,6th,FEDERAL,2786748293,,,,
P005834,DMPW470HJF8K,,6th,FEDERAL,2786748293,,,,
P005837,DMPW462MJF8K,,6th,FEDERAL,2788067403,,,,
P005969,GG7W62ZDHLFC,,5th,UNKNOWN,2778568784,,,,
P005970,GG7WC0MTHLFC,,5th,UNKNOWN,2778955813,,,,
P005971,GG7WC0FWHLFC,,5th,UNKNOWN,2778955813,,,,
P005974,DMPW31VDJF8K,,6th,FEDERAL,2786748293,,,,
P28784,GG7Z14ZWJF8J,,6th,STATE,2916085152,,,,
P28792,GCTVD0Z2HLFC,,5th,STATE,2736486624,,,,
,GG7W90KBHLFC,,5th,FEDERAL,2778868028,,,,
,GG7W90F9HLFC,,5th,FEDERAL,2778868028,,,,
P005972,DMPW49RUJF8K,,6th,FEDERAL,2786748293,,,,
P28781,GVTVD1K4LFC,,5th,STATE,2736486624,,,,
P28965,GG7Z1FUCJF8J,,6th,STATE,2916085152,,,,
.,DMPT4PTJHG5D,,AIR2,FEDERAL,2688937318,,,,
n/a,DMPRQ9T8G5VJ,,AIR2,,2638835101,,,,
P005822,GQ8YK7A6JF8J,,6th,STATE,1009281171,,,,
P005829,GG7YV7RUJF8J,,6th,STATE,2916085152,,,,
P005832,DMPW49N7JF8K,,6th,FEDERAL,2786748293,,,,
P010048,DMPRLQ9XG5VJ,,AIR2,,2634759782,ORDER # : ,,,
P010111,DMPRLKVGG5VJ,,AIR2,,2634759782,,,,
P010113,DMPRLMCZG5VJ,,AIR2,,2634759782,,,,
P010114,DMPST443HG5D,,AIR2,STATE,2675624942,,,,
P010119,DMPRL3Z6G5VJ,,AIR2,,2634759782,,,,
P010120,DMPSTES7HG5D,,AIR2,,2675624942,,,,
P010121,DMQRPDC7G5VJ,,AIR2,,2637597560,,,,
P010122,DMPRLG6EG5VJ,,AIR2,,2634759782,,,,
P010123,DMPRQ5P4G5VJ,,AIR2,,2637597560,,,,
P010124,DMPRLG6NG5VJ,,AIR2,,2634759782,,,,
P010131,DMPRQ5LHG5VJ,,AIR2,,2637597560,,,,
P010132,DMPRK90BG5VJ,,AIR2,,2634759782,,,,
P010135,DMQSRVFNHG5D,,AIR2,STATE,2675624942,,,,
P010136,DMPSTW0UHG5D,,AIR2,STATE,2675624942,,,,
P010137,DMPSTBX0HG5D,,AIR2,STATE,2675624942,,,,
P28782,GG7Z1HBDJF8J,,6th,STATE,2916085152,,,,
P28792,GCTVD0Z2HLFC,,5th,STATE,2736486624,,,,
P28967,GG7Z1GCHJF8J,,6th,STATE,2916085152,,,,
P46165,GG7Z1GX7JF8J,,6th,STATE,2916085152,,,,
P46362,DMPWC0FCJF8J,,6th,STATE,20180730154119,,,,
P46370,GG7Z14XZJF8J,,6th,STATE,2916085152,,,,
P46507,GG7Z1J35JF8J,,6th,STATE,2916085152,,,,
P47995,GG7W20WXHLFC,,5th,FEDERAL,2780852485,,,,
,GG7Z1GYCJF8J,,6th,STATE,2916085152,,,,
,GG7YV78RJF8J,,6th,STATE,2916085152,,,,
,GG7Z1GL4JF8J,,6th,STATE,2916085152,,,,
,DMPRQJZMG5VJ,,AIR2,,2638835101,,,,
,GCTV8MK9HLFC,,5th,STATE,2736486624,,,,
,GG7Z1GNSJF8J,,6th,STATE,2916085152,,,,
,DMPSTCT4HG5D,,AIR2,STATE,2675624942,,,,
P010122,DMPRLG6EG5VJ,,AIR2,,2634759782,,,,
P28971,DMPT4EMEHG5D,,AIR2,FEDERAL,2688937318,,,,
P46855,GG7Z1KF1JF8J,,6th,STATE,2916085152,,,,
P28943,DMPT47UXHG5D,,AIR2,FEDERAL,2688937318,,,,
,GG7Z1KMFJF8J,,6th,STATE,2916085152,,,,
P49330,DMRW5SHLJF8J,,6th,STATE,20180730154119,,,,
P58143,GG7WC0V2HLFC,,5th,FEDERAL,2776565277,,,New Ipads scanned from here,
P58144,DMPTJD6THLF9,,5th,FEDERAL,2704603614,,,,
P36151,DMPT96LEHG5D,,AIR2,FEDERAL,2697152692,,,,
P18318,DMPTJJEWHLF9,,5th,FEDERAL,2704603614,,,,
